word,number,pos,meaning
sorrel,100,n,plant
sorrel,200,n,horse
sound,100,"n,v",vibrations
sound,200,"a,r",reliable
sound,300,"v,n",measure
sound,700,n,channel
sow,100,v,bury
sow,200,n,pig
spade,100,"n,v",tool
spade,200,n,suit
span,100,"n,v",distance
span,200,"n,v",rope
span,500,a,clean
span,600,v,rotate
spell,100,v,write
spell,200,n,enchantment
spell,300,"n,v",period
spell,400,n,splinter
spike,100,"n,v",skewer
spike,200,n,flower cluster
spire,100,n,steeple
spire,200,n,spiral
spit,100,"v,n",eject
spit,200,"n,v",rod
spit,500,n,layer
spray,100,"n,v",shower
spray,200,n,branch
stable,100,a,firm
stable,200,"n,v",building
stake,100,"n,v",pole
stake,200,"n,v",wager
stale,100,"a,v",dry
stale,200,v,urinate
staple,100,"n,v",wire
staple,200,"n,a",main
stay,100,"v,n",remain
stay,200,"n,v",support
steep,100,"a,n",vertical
steep,200,v,soak
steer,100,"v,n",guide
steer,200,n,animal
stem,100,"n,v",body
stem,200,v,stop
stern,100,a,serious
stern,200,n,bottom
stick,100,n,wood
stick,200,v,thrust
stifle,100,v,prevent
stifle,200,n,joint
still,100,"a,n,r,v",undisturbed
still,500,n,apparatus
stoop,100,"v,n",bend
stoop,200,n,porch
storied,100,a,celebration
storied,200,a,with floors
story,100,n,account
story,200,n,level
strain,100,"v,n",stretch
strain,200,n,variety
strand,100,"v,n",abandon
strand,200,n,thread
strip,100,"v,n",remove
strip,200,n,ribbon
stunt,100,v,restrict
stunt,200,"n,v",trick
summer,100,"n,v",season
summer,200,n,support
swallow,100,"v,n",consume
swallow,200,n,songbird
tack,100,"n,v",nail
tack,200,n,equipment
tack,300,n,cheap
tag,100,"n,v",label
tag,200,"n,v",game
tail,100,"n,v",appendage
tail,200,n,limitation
tang,100,n,flavour
tang,200,"v,n",chime
tang,300,n,surgeonfish
tangle,100,"v,n",twist
tangle,200,n,seaweed
tap,100,"n,v",device
tap,200,"v,n",touch
tart,100,n,pastry
tart,200,"n,v",prostitute
tart,300,a,sour
tear,100,"v,n",rip
tear,200,"n,v",liquid
tee,200,"n,v",space
tee,300,n,shirt
temple,100,n,building
temple,200,n,head
temple,300,n,device
temporal,100,a,secular
temporal,200,a,on the head
tend,100,v,have a tendency
tend,200,v,care for
tender,100,a,delicate
tender,200,"v,n",offer
tender,300,n,attendant
tent,100,"n,v",shelter
tent,200,n,wine
tent,300,n,material
terrier,100,n,dog
terrier,200,n,inventory
tick,100,"n,v",mark
tick,200,n,arachnid
tick,300,n,pillow
tick,400,n,credit
tip,100,"n,v",point
tip,200,"v,n",overbalance
tip,300,"n,v",reward
tire,100,v,exhaust
tire,200,n,rubber
toast,100,"n,v",bread
toast,200,v,improvise
toll,100,"n,v",payment
toll,200,"v,n",chime
ton,100,"n,r",unit
ton,200,n,style
top,100,"n,a,v,r",uppermost
top,500,n,toy
tow,100,"v,n",pull
tow,200,n,fibres
trace,100,"v,n",discover
trace,200,n,straps
tract,100,n,area
tract,200,n,treatise
tract,300,n,anthem
trap,100,"n,v",device
trap,200,v,equip
trap,300,n,rock
trip,100,"v,n",stumble
trip,200,n,flock
truck,100,"n,v",vehicle
truck,200,"n,v",payment
utter,100,a,complete
utter,200,v,speak
vault,100,"n,v",room
